"Access","Time (UTCG)","Noise Density (dBW/Hz)","S/T SNR1 (dB)","S/T PDet1","S/T Integrated SNR (dB)","S/T Integrated PDet","S/T Pulses Integrated","S/T Integration Time (sec)","S/T Dwell Time (sec)","S/T Noise Bandwidth (MHz)","S/T Noise Power (dBW)","S/T Ambig Tgt Velocity (m/s)","S/T Ambig MLC Velocity (m/s)","S/T Ambig Tgt Range (km)","S/T Integ. Det. Thresh. (dB)","S/T Integ. CFAR Multiple"
1,1 May 2024 19:32:41.000,-203.975159,-13.5323,0.000139,13.5604,0.003526,512,0.5110,0.5129,30.000,-129.204,-3.565,0.000,139.807962,27.7847,0.000000
1,1 May 2024 19:32:44.000,-203.975159,-13.4879,0.000139,13.6048,0.003633,512,0.5110,0.5129,30.000,-129.204,-3.566,0.000,139.068171,27.7847,0.000000
1,1 May 2024 19:32:47.000,-203.975159,-13.4433,0.000140,13.6494,0.003743,512,0.5110,0.5129,30.000,-129.204,-3.566,0.000,138.328382,27.7847,0.000000
1,1 May 2024 19:32:50.000,-203.975159,-13.3987,0.000145,13.6940,0.003869,512,0.5110,0.5129,30.000,-129.204,-3.567,0.000,137.588594,27.7847,0.000000
1,1 May 2024 19:32:53.000,-203.975159,-13.3539,0.000146,13.7388,0.003989,512,0.5110,0.5129,30.000,-129.204,-3.567,0.000,136.848806,27.7847,0.000000
1,1 May 2024 19:32:56.000,-203.975159,-13.3090,0.000146,13.7837,0.004114,512,0.5110,0.5129,30.000,-129.204,-3.567,0.000,136.109021,27.7847,0.000000
1,1 May 2024 19:32:59.000,-203.975159,-13.2641,0.000147,13.8286,0.004256,512,0.5110,0.5129,30.000,-129.204,-3.568,0.000,135.369236,27.7847,0.000000
1,1 May 2024 19:33:02.000,-203.975159,-13.2189,0.000147,13.8738,0.004392,512,0.5110,0.5129,30.000,-129.204,-3.568,0.000,134.629452,27.7847,0.000000
1,1 May 2024 19:33:05.000,-203.975159,-13.1737,0.000148,13.9190,0.004533,512,0.5110,0.5129,30.000,-129.204,-3.569,0.000,133.889670,27.7847,0.000000
1,1 May 2024 19:33:08.000,-203.975159,-13.1284,0.000149,13.9643,0.004693,512,0.5110,0.5129,30.000,-129.204,-3.569,0.000,133.149888,27.7847,0.000000
1,1 May 2024 19:33:11.000,-203.975159,-13.0829,0.000149,14.0098,0.004847,512,0.5110,0.5129,30.000,-129.204,-3.570,0.000,132.410109,27.7847,0.000000
1,1 May 2024 19:33:14.000,-203.975159,-13.0373,0.000150,14.0554,0.005007,512,0.5110,0.5129,30.000,-129.204,-3.570,0.000,131.670330,27.7847,0.000000
1,1 May 2024 19:33:17.000,-203.975159,-12.9916,0.000150,14.1011,0.005188,512,0.5110,0.5129,30.000,-129.204,-3.571,0.000,130.930553,27.7847,0.000000
